created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2023-11-06T15:23:28+00:00,1,29,63.6,3.04711,4.13062,4.36697,78.94091,,,,
2023-11-06T15:23:51+00:00,2,29,63.4,4.4563,3.99958,4.14852,98.56056,,,,
2023-11-06T15:24:15+00:00,3,29,63.2,4.41149,1.72751,4.23506,94.05267,,,,
2023-11-06T15:24:39+00:00,4,29,63.1,4.06308,3.68582,4.36697,93.33115,,,,
2023-11-06T15:25:03+00:00,5,29,63.1,11.02481,5.22072,2.57729,190.29976,,,,
2023-11-06T15:25:27+00:00,6,29,63.1,4.54676,3.16862,4.02077,97.58942,,,,
2023-11-06T15:25:51+00:00,7,29,63.1,5.72217,3.27845,4.27876,116.92768,,,,
2023-11-06T15:26:15+00:00,8,29,62.9,4.10566,3.56571,4.10566,92.22385,,,,
2023-11-06T15:26:39+00:00,9,29,62.8,3.97874,3.74701,4.14852,90.91492,,,,
2023-11-06T15:27:02+00:00,10,29,62.8,3.53425,3.4486,3.77266,81.49612,,,,
2023-11-06T15:27:26+00:00,11,29,62.8,3.93698,3.4486,4.10566,89.46999,,,,
2023-11-06T15:27:50+00:00,12,29,62.8,3.41864,3.22318,3.93698,80.28533,,,,
2023-11-06T15:28:14+00:00,13,29,62.5,3.53425,3.22318,3.73225,80.8312,,,,
2023-11-06T15:28:38+00:00,14,28.9,62.8,4.91996,2.95738,3.53425,99.96017,,,,
2023-11-06T15:29:02+00:00,15,28.9,62.8,3.77266,3.27845,3.61265,83.81864,,,,
2023-11-06T15:29:26+00:00,16,28.9,62.9,4.27876,4.0647,4.23506,96.52406,,,,
2023-11-06T15:29:50+00:00,17,28.9,63,4.27876,4.13062,4.91996,100.62534,,,,
2023-11-06T15:30:13+00:00,18,28.9,62.9,4.4563,3.74701,4.19165,98.32869,,,,
2023-11-06T15:30:38+00:00,19,28.8,63.1,4.36697,1.83241,1.62474,78.43382,,,,
2023-11-06T15:31:02+00:00,20,28.8,63.2,4.14852,4.54343,4.91996,99.46002,,,,
2023-11-06T15:31:25+00:00,21,28.8,63.2,4.19165,3.74701,4.23506,94.61098,,,,
2023-11-06T15:31:49+00:00,22,28.8,63.2,6.15191,6.61203,6.207,140.93094,,,,
2023-11-06T15:32:12+00:00,23,28.7,63.3,10.40251,15.92682,10.32632,246.38506,,,,
2023-11-06T15:32:36+00:00,24,28.6,63.3,10.40251,15.92682,10.40251,246.82729,,,,
2023-11-06T15:33:00+00:00,25,28.6,63,10.40251,15.92682,10.32632,246.38506,,,,
2023-11-06T15:33:23+00:00,26,28.5,63.1,10.86709,15.92682,10.55595,254.68665,,,,
2023-11-06T15:33:47+00:00,27,28.6,63.1,10.47905,15.92682,10.40251,247.9754,,,,
2023-11-06T15:34:11+00:00,28,28.5,62.9,10.47905,15.92682,10.40251,247.9754,,,,
2023-11-06T15:34:35+00:00,29,28.5,63,10.40251,15.92682,10.55595,247.71788,,,,
2023-11-06T15:34:59+00:00,30,28.5,62.9,10.32632,15.92682,10.40251,245.6844,,,,
2023-11-06T15:35:23+00:00,31,28.5,62.9,10.32632,15.92682,10.40251,245.6844,,,,
2023-11-06T15:35:46+00:00,32,28.5,63,10.40251,15.92682,10.32632,246.38506,,,,
2023-11-06T15:36:10+00:00,33,28.5,63,10.47905,15.92682,10.40251,247.9754,,,,
2023-11-06T15:36:33+00:00,34,28.5,63.1,10.40251,15.92682,10.40251,246.82729,,,,
2023-11-06T15:36:57+00:00,35,28.5,63.1,10.55595,16.11379,10.40251,249.48582,,,,
2023-11-06T15:37:21+00:00,36,28.5,63,10.47905,16.30244,10.40251,248.69258,,,,
2023-11-06T15:37:44+00:00,37,28.4,63.1,10.40251,16.11379,10.47905,247.62854,,,,
2023-11-06T15:38:08+00:00,38,28.3,63.2,10.55595,16.4928,10.55595,251.10008,,,,
2023-11-06T15:38:32+00:00,39,28.3,63.3,10.6332,16.30244,10.47905,251.44917,,,,
2023-11-06T15:38:55+00:00,40,28.3,63.4,11.02481,17.87348,10.86709,262.57523,,,,
